Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(Â°/s),Angular velocity Y(Â°/s),Angular velocity Z(Â°/s),Magnetic field X(Ê¯t),Magnetic field Y(Ê¯t),Magnetic field Z(Ê¯t),Temperature(â„ƒ),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
e5:96:eb:33:1a:dd,1/1/2015 0:01,-0.053,-0.033,1.003,-0.549,3.723,-1.526,1.575,44.717,2.8,,0.9993,-0.01624,0.02756,0.01669
e5:96:eb:33:1a:dd,1/1/2015 0:01,-0.06,-0.033,0.998,0.305,-1.038,0,1.575,44.717,2.8,,0.9993,-0.01624,0.02756,0.01669
e5:96:eb:33:1a:dd,1/1/2015 0:01,-0.052,-0.034,1,0.122,1.526,-0.122,1.575,44.717,2.8,,0.9993,-0.01624,0.02756,0.01669
e5:96:eb:33:1a:dd,1/1/2015 0:01,-0.044,-0.023,1.002,-0.122,-0.488,0.916,1.575,44.717,2.8,,0.9993,-0.01624,0.02756,0.01669
e5:96:eb:33:1a:dd,1/1/2015 0:01,-0.042,-0.025,0.993,0.061,-2.686,-0.122,1.575,44.717,2.8,,0.9993,-0.01624,0.02756,0.01669
e5:96:eb:33:1a:dd,1/1/2015 0:01,-0.054,-0.027,0.997,-0.61,-1.282,-0.244,1.575,44.717,2.8,,0.9993,-0.01624,0.02756,0.01669
e5:96:eb:33:1a:dd,1/1/2015 0:01,-0.074,-0.031,1.003,-0.732,3.784,-1.221,1.575,44.717,2.8,,0.9993,-0.01624,0.02756,0.01669
e5:96:eb:33:1a:dd,1/1/2015 0:01,-0.074,-0.045,1.007,0.916,2.075,-0.061,1.575,44.717,2.8,,0.9993,-0.01624,0.02756,0.01669
e5:96:eb:33:1a:dd,1/1/2015 0:01,-0.048,-0.041,0.98,2.136,-6.836,3.967,1.575,44.717,2.8,,0.9993,-0.01624,0.02756,0.01669
e5:96:eb:33:1a:dd,1/1/2015 0:01,-0.027,-0.023,0.99,-1.038,3.601,1.648,1.575,44.717,2.8,,0.9993,-0.01624,0.02756,0.01669
e5:96:eb:33:1a:dd,1/1/2015 0:01,-0.022,-0.018,1.013,0.61,1.526,0.488,1.575,44.717,2.8,,0.9993,-0.01624,0.02756,0.01669
e5:96:eb:33:1a:dd,1/1/2015 0:01,-0.035,-0.026,1.013,-1.343,-0.244,-1.831,1.575,44.717,2.8,,0.9993,-0.01624,0.02756,0.01669
e5:96:eb:33:1a:dd,1/1/2015 0:01,-0.065,-0.04,1.021,-0.305,6.042,-3.296,1.575,44.717,2.8,,0.9993,-0.01624,0.02756,0.01669
e5:96:eb:33:1a:dd,1/1/2015 0:01,-0.054,-0.027,1.006,2.38,-7.385,0.854,1.575,44.717,2.8,,0.9993,-0.01624,0.02756,0.01669
e5:96:eb:33:1a:dd,1/1/2015 0:01,-0.082,-0.021,0.954,0.854,-2.319,0.732,1.958,44.792,3.05,,0.9993,-0.01624,0.02756,0.01669
e5:96:eb:33:1a:dd,1/1/2015 0:01,-0.044,-0.027,1.018,-0.305,1.282,-0.854,1.958,44.792,3.05,,0.99939,-0.01508,0.02475,0.01764
e5:96:eb:33:1a:dd,1/1/2015 0:01,-0.04,-0.025,1,2.258,-0.549,0.61,1.958,44.792,3.05,,0.99939,-0.01508,0.02475,0.01764
e5:96:eb:33:1a:dd,1/1/2015 0:01,-0.022,-0.03,0.996,-0.977,5.066,-0.366,1.958,44.792,3.05,,0.99939,-0.01508,0.02475,0.01764
e5:96:eb:33:1a:dd,1/1/2015 0:01,-0.069,-0.004,1.027,2.014,-7.141,-1.526,1.958,44.792,3.05,,0.99939,-0.01508,0.02475,0.01764
e5:96:eb:33:1a:dd,1/1/2015 0:01,-0.072,-0.041,0.978,3.357,11.963,-7.141,1.958,44.792,3.05,,0.99939,-0.01508,0.02475,0.01764
e5:96:eb:33:1a:dd,1/1/2015 0:01,-0.092,-0.055,0.962,0.366,-4.883,2.441,1.958,44.792,3.05,,0.99939,-0.01508,0.02475,0.01764
e5:96:eb:33:1a:dd,1/1/2015 0:01,-0.069,-0.037,1.005,-0.732,-9.094,6.042,1.4,44.825,2.5,,0.99939,-0.01508,0.02475,0.01764
e5:96:eb:33:1a:dd,1/1/2015 0:01,-0.038,-0.015,1.016,-0.305,3.784,4.15,1.4,44.825,2.5,,0.99939,-0.01508,0.02475,0.01764
e5:96:eb:33:1a:dd,1/1/2015 0:01,-0.035,-0.028,0.986,-0.854,-2.258,5.859,1.4,44.825,2.5,,0.99933,-0.013,0.02588,0.02029
e5:96:eb:33:1a:dd,1/1/2015 0:01,-0.055,-0.023,0.992,-1.953,-1.099,3.296,1.4,44.825,2.5,,0.99933,-0.013,0.02588,0.02029
e5:96:eb:33:1a:dd,1/1/2015 0:01,-0.048,-0.018,1.036,1.831,2.38,0.671,1.4,44.825,2.5,,0.99933,-0.013,0.02588,0.02029
e5:96:eb:33:1a:dd,1/1/2015 0:01,-0.036,-0.013,1,2.502,-4.333,3.54,1.4,44.825,2.5,,0.99933,-0.013,0.02588,0.02029
e5:96:eb:33:1a:dd,1/1/2015 0:01,-0.07,-0.019,0.97,-15.93,-7.019,-0.427,1.4,44.825,2.5,,0.99933,-0.013,0.02588,0.02029
e5:96:eb:33:1a:dd,1/1/2015 0:01,-0.075,-0.054,1.064,-8.24,-4.211,-4.272,1.4,44.825,2.5,,0.99933,-0.013,0.02588,0.02029
e5:96:eb:33:1a:dd,1/1/2015 0:01,-0.077,-0.069,1.037,17.395,-13.245,-0.488,2,44.642,3.067,,0.99933,-0.013,0.02588,0.02029
e5:96:eb:33:1a:dd,1/1/2015 0:01,-0.056,-0.065,0.977,3.296,3.113,-1.038,2,44.642,3.067,,0.99933,-0.013,0.02588,0.02029
e5:96:eb:33:1a:dd,1/1/2015 0:01,-0.024,-0.024,0.985,-0.854,-4.517,3.601,2,44.642,3.067,,0.99951,-0.01483,0.01801,0.01904
e5:96:eb:33:1a:dd,1/1/2015 0:01,-0.002,-0.01,1.025,1.404,-8.484,2.686,2,44.642,3.067,,0.99951,-0.01483,0.01801,0.01904
e5:96:eb:33:1a:dd,1/1/2015 0:01,0.001,-0.012,0.995,1.709,-6.714,-0.427,2,44.642,3.067,,0.99951,-0.01483,0.01801,0.01904
e5:96:eb:33:1a:dd,1/1/2015 0:01,-0.034,-0.006,1.004,0.61,-5.493,-2.563,2,44.642,3.067,,0.99951,-0.01483,0.01801,0.01904
e5:96:eb:33:1a:dd,1/1/2015 0:01,-0.052,-0.031,0.983,-5.859,5.554,-3.723,2,44.642,3.067,,0.99951,-0.01483,0.01801,0.01904
e5:96:eb:33:1a:dd,1/1/2015 0:01,-0.028,-0.04,1.006,-6.47,3.296,-2.93,2,44.642,3.067,,0.99951,-0.01483,0.01801,0.01904
e5:96:eb:33:1a:dd,1/1/2015 0:01,-0.036,-0.04,1,1.343,-7.568,2.563,2,44.642,3.067,,0.99951,-0.01483,0.01801,0.01904
e5:96:eb:33:1a:dd,1/1/2015 0:01,-0.02,-0.04,1.027,1.404,-1.16,-0.549,1.533,44.767,2.875,,0.99951,-0.01483,0.01801,0.01904
e5:96:eb:33:1a:dd,1/1/2015 0:01,-0.014,-0.035,0.997,-7.08,-1.099,-0.549,1.533,44.767,2.875,,0.9996,-0.01587,0.01031,0.01813
e5:96:eb:33:1a:dd,1/1/2015 0:01,-0.034,-0.021,1.002,0.793,3.845,-0.732,1.533,44.767,2.875,,0.9996,-0.01587,0.01031,0.01813
e5:96:eb:33:1a:dd,1/1/2015 0:01,-0.057,-0.033,1.02,-0.488,3.052,-2.563,1.533,44.767,2.875,,0.9996,-0.01587,0.01031,0.01813
e5:96:eb:33:1a:dd,1/1/2015 0:01,-0.031,-0.043,1.018,-6.042,7.019,-2.563,1.533,44.767,2.875,,0.9996,-0.01587,0.01031,0.01813
e5:96:eb:33:1a:dd,1/1/2015 0:01,-0.031,-0.047,0.96,2.136,-3.418,-0.916,1.533,44.767,2.875,,0.9996,-0.01587,0.01031,0.01813
e5:96:eb:33:1a:dd,1/1/2015 0:01,-0.015,-0.026,0.984,1.953,-1.831,2.075,1.533,44.767,2.875,,0.9996,-0.01587,0.01031,0.01813
e5:96:eb:33:1a:dd,1/1/2015 0:01,-0.037,-0.02,1.066,-10.254,5.066,-4.395,1.942,44.608,3.117,,0.9996,-0.01587,0.01031,0.01813
e5:96:eb:33:1a:dd,1/1/2015 0:01,-0.019,-0.045,0.966,-1.16,4.761,-3.052,1.942,44.608,3.117,,0.9996,-0.01587,0.01031,0.01813
e5:96:eb:33:1a:dd,1/1/2015 0:01,-0.042,-0.043,0.952,-0.549,-9.521,4.578,1.942,44.608,3.117,,0.99954,-0.0191,0.01193,0.01852
e5:96:eb:33:1a:dd,1/1/2015 0:01,-0.026,-0.02,1.043,-6.348,-0.488,-0.061,1.942,44.608,3.117,,0.99954,-0.0191,0.01193,0.01852
e5:96:eb:33:1a:dd,1/1/2015 0:01,0.005,-0.046,1.015,4.761,5.066,-0.854,1.942,44.608,3.117,,0.99954,-0.0191,0.01193,0.01852
e5:96:eb:33:1a:dd,1/1/2015 0:01,-0.015,-0.016,1.026,18.311,-6.653,-1.038,1.942,44.608,3.117,,0.99954,-0.0191,0.01193,0.01852
e5:96:eb:33:1a:dd,1/1/2015 0:01,-0.021,-0.017,1.01,19.104,1.16,0.488,1.942,44.608,3.117,,0.99954,-0.0191,0.01193,0.01852
e5:96:eb:33:1a:dd,1/1/2015 0:01,-0.015,-0.015,0.987,22.217,6.348,-5.493,1.942,44.608,3.117,,0.99954,-0.0191,0.01193,0.01852
e5:96:eb:33:1a:dd,1/1/2015 0:01,-0.011,0.003,0.98,13,-0.61,7.507,1.95,44.717,1.483,,0.99954,-0.0191,0.01193,0.01852
e5:96:eb:33:1a:dd,1/1/2015 0:01,-0.01,0.031,1.016,29.602,-19.104,6.042,1.95,44.717,1.483,,0.99948,0.0188,0.00385,0.02347
e5:96:eb:33:1a:dd,1/1/2015 0:01,-0.01,0.059,0.968,20.691,-0.977,6.409,1.95,44.717,1.483,,0.99948,0.0188,0.00385,0.02347
e5:96:eb:33:1a:dd,1/1/2015 0:01,-0.017,0.077,1.035,47.241,13.794,-8.057,1.95,44.717,1.483,,0.99948,0.0188,0.00385,0.02347
e5:96:eb:33:1a:dd,1/1/2015 0:01,-0.01,0.123,0.98,57.19,5.432,-2.014,1.95,44.717,1.483,,0.99948,0.0188,0.00385,0.02347
e5:96:eb:33:1a:dd,1/1/2015 0:01,-0.022,0.168,0.994,25.757,-6.836,2.502,1.95,44.717,1.483,,0.99948,0.0188,0.00385,0.02347
e5:96:eb:33:1a:dd,1/1/2015 0:01,-0.019,0.188,1.011,60.547,0.793,4.883,1.95,44.717,1.483,,0.99948,0.0188,0.00385,0.02347
e5:96:eb:33:1a:dd,1/1/2015 0:01,-0.014,0.248,0.958,93.384,9.399,0.061,2.267,44.242,-10.183,,0.99948,0.0188,0.00385,0.02347
e5:96:eb:33:1a:dd,1/1/2015 0:01,-0.055,0.367,1,173.95,9.949,-12.207,2.267,44.242,-10.183,,0.97232,0.2316,0.02509,0.01538
e5:96:eb:33:1a:dd,1/1/2015 0:01,-0.039,0.558,0.781,157.043,2.075,5.432,2.267,44.242,-10.183,,0.97232,0.2316,0.02509,0.01538
e5:96:eb:33:1a:dd,1/1/2015 0:01,-0.031,0.601,0.788,123.047,1.831,2.38,2.267,44.242,-10.183,,0.97232,0.2316,0.02509,0.01538
e5:96:eb:33:1a:dd,1/1/2015 0:01,-0.069,0.724,0.733,118.896,7.324,-3.54,2.267,44.242,-10.183,,0.97232,0.2316,0.02509,0.01538
e5:96:eb:33:1a:dd,1/1/2015 0:01,-0.058,0.771,0.615,127.625,4.456,3.54,2.267,44.242,-10.183,,0.97232,0.2316,0.02509,0.01538
e5:96:eb:33:1a:dd,1/1/2015 0:01,-0.04,0.814,0.521,93.994,4.639,0.427,2.267,44.242,-10.183,,0.97232,0.2316,0.02509,0.01538
e5:96:eb:33:1a:dd,1/1/2015 0:01,-0.017,0.876,0.518,78.247,-0.061,4.211,2.117,25.292,-38.625,,0.97232,0.2316,0.02509,0.01538
e5:96:eb:33:1a:dd,1/1/2015 0:01,-0.071,0.9,0.452,95.032,2.808,15.015,2.117,25.292,-38.625,,0.84009,0.54108,0.03516,0.01224
e5:96:eb:33:1a:dd,1/1/2015 0:01,-0.046,0.958,0.309,136.536,-3.113,-22.156,2.117,25.292,-38.625,,0.84009,0.54108,0.03516,0.01224
e5:96:eb:33:1a:dd,1/1/2015 0:01,-0.03,0.914,0.256,69.58,6.104,19.226,2.117,25.292,-38.625,,0.84009,0.54108,0.03516,0.01224
e5:96:eb:33:1a:dd,1/1/2015 0:01,-0.014,1.023,0.186,78.552,-3.113,-26.794,2.117,25.292,-38.625,,0.84009,0.54108,0.03516,0.01224
e5:96:eb:33:1a:dd,1/1/2015 0:01,-0.088,0.922,0.172,66.772,1.16,15.32,2.117,25.292,-38.625,,0.84009,0.54108,0.03516,0.01224
e5:96:eb:33:1a:dd,1/1/2015 0:01,-0.068,1.042,0.008,116.333,-6.042,-12.817,2.117,25.292,-38.625,,0.84009,0.54108,0.03516,0.01224
e5:96:eb:33:1a:dd,1/1/2015 0:01,-0.047,0.961,-0.009,33.447,4.883,10.315,2.117,25.292,-38.625,,0.84009,0.54108,0.03516,0.01224
e5:96:eb:33:1a:dd,1/1/2015 0:01,-0.035,0.979,-0.05,60.12,4.517,-4.517,1.383,2.867,-46.208,,0.84009,0.54108,0.03516,0.01224
e5:96:eb:33:1a:dd,1/1/2015 0:01,-0.042,1.001,-0.089,27.832,4.028,12.451,1.383,2.867,-46.208,,0.69952,0.71353,0.0372,-0.00699
e5:96:eb:33:1a:dd,1/1/2015 0:01,-0.056,0.98,-0.11,31.982,4.456,1.221,1.383,2.867,-46.208,,0.69952,0.71353,0.0372,-0.00699
e5:96:eb:33:1a:dd,1/1/2015 0:01,-0.07,1,-0.123,-4.944,-3.235,0,1.383,2.867,-46.208,,0.69952,0.71353,0.0372,-0.00699
e5:96:eb:33:1a:dd,1/1/2015 0:01,-0.051,1.008,-0.149,2.747,-5.432,-4.456,1.383,2.867,-46.208,,0.69952,0.71353,0.0372,-0.00699
e5:96:eb:33:1a:dd,1/1/2015 0:01,0.093,0.981,-0.095,-35.95,3.967,18.921,1.383,2.867,-46.208,,0.69952,0.71353,0.0372,-0.00699
e5:96:eb:33:1a:dd,1/1/2015 0:01,-0.036,1.021,-0.032,-5.798,-18.494,-52.368,1.383,2.867,-46.208,,0.69952,0.71353,0.0372,-0.00699
e5:96:eb:33:1a:dd,1/1/2015 0:01,-0.008,1.015,-0.065,-4.578,-5.066,-9.644,1.242,0.708,-46.292,,0.69952,0.71353,0.0372,-0.00699
e5:96:eb:33:1a:dd,1/1/2015 0:01,-0.034,0.964,-0.049,-7.751,-2.563,1.343,1.242,0.708,-46.292,,0.71494,0.69873,0.0231,0.0051
e5:96:eb:33:1a:dd,1/1/2015 0:01,-0.025,1.037,-0.031,-5.981,-2.075,-7.812,1.242,0.708,-46.292,,0.71494,0.69873,0.0231,0.0051
e5:96:eb:33:1a:dd,1/1/2015 0:01,-0.034,0.979,-0.036,2.502,1.831,6.104,1.242,0.708,-46.292,,0.71494,0.69873,0.0231,0.0051
e5:96:eb:33:1a:dd,1/1/2015 0:01,-0.012,0.947,-0.032,-2.258,0.122,-1.221,1.242,0.708,-46.292,,0.71494,0.69873,0.0231,0.0051
e5:96:eb:33:1a:dd,1/1/2015 0:01,-0.021,1.039,-0.042,-3.601,-1.526,-0.183,1.242,0.708,-46.292,,0.71494,0.69873,0.0231,0.0051
e5:96:eb:33:1a:dd,1/1/2015 0:01,0.003,1.012,-0.039,1.831,-1.282,-4.7,1.242,0.708,-46.292,,0.71494,0.69873,0.0231,0.0051
e5:96:eb:33:1a:dd,1/1/2015 0:01,-0.037,0.987,-0.058,-2.747,-1.404,3.967,0.983,1.592,-46.417,,0.71494,0.69873,0.0231,0.0051
e5:96:eb:33:1a:dd,1/1/2015 0:01,-0.076,1.013,-0.035,-0.732,-3.113,0.427,0.983,1.592,-46.417,,0.71494,0.69873,0.0231,0.0051
e5:96:eb:33:1a:dd,1/1/2015 0:01,-0.084,0.989,0.002,-1.038,-1.221,-1.587,0.983,1.592,-46.417,,0.71323,0.70056,0.01981,0.00195
e5:96:eb:33:1a:dd,1/1/2015 0:01,-0.033,0.987,0.01,0.793,1.16,-1.465,0.983,1.592,-46.417,,0.71323,0.70056,0.01981,0.00195
e5:96:eb:33:1a:dd,1/1/2015 0:01,0.006,1.012,-0.027,-2.93,7.324,-0.061,0.983,1.592,-46.417,,0.71323,0.70056,0.01981,0.00195
e5:96:eb:33:1a:dd,1/1/2015 0:01,0.031,1.009,-0.042,1.282,7.812,-0.061,0.983,1.592,-46.417,,0.71323,0.70056,0.01981,0.00195
e5:96:eb:33:1a:dd,1/1/2015 0:01,0.007,0.983,-0.043,0,3.54,4.272,0.983,1.592,-46.417,,0.71323,0.70056,0.01981,0.00195
e5:96:eb:33:1a:dd,1/1/2015 0:01,-0.002,1.009,-0.054,-0.366,-1.465,-6.714,0.983,1.592,-46.417,,0.71323,0.70056,0.01981,0.00195
e5:96:eb:33:1a:dd,1/1/2015 0:01,-0.019,0.998,-0.056,-0.366,-1.709,1.221,1.417,1.767,-46.167,,0.71323,0.70056,0.01981,0.00195
e5:96:eb:33:1a:dd,1/1/2015 0:01,-0.023,0.991,-0.032,-0.183,-2.686,0.671,1.417,1.767,-46.167,,0.71323,0.70056,0.01981,0.00195
e5:96:eb:33:1a:dd,1/1/2015 0:01,-0.033,1.007,-0.028,-0.732,-2.991,0.183,1.417,1.767,-46.167,,0.71008,0.70367,0.02209,0.00711
e5:96:eb:33:1a:dd,1/1/2015 0:01,-0.016,1.012,-0.022,1.526,-1.953,-0.854,1.417,1.767,-46.167,,0.71008,0.70367,0.02209,0.00711
e5:96:eb:33:1a:dd,1/1/2015 0:01,-0.034,0.967,-0.029,-2.625,1.343,2.869,1.417,1.767,-46.167,,0.71008,0.70367,0.02209,0.00711
e5:96:eb:33:1a:dd,1/1/2015 0:01,-0.015,1.008,-0.028,-0.366,-0.854,-3.174,1.417,1.767,-46.167,,0.71008,0.70367,0.02209,0.00711